Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
03/02/2022,United States,2020,25,2020-06-20,57988,52204,685,11157,1792,2362,756,2563,761,932,610,12409,2923,3851,3347,,,,,,,,,,,,,,,
03/02/2022,United States,2020,26,2020-06-27,58516,52652,719,11356,1766,2288,722,2540,775,952,579,12520,2959,3844,3332,,,,,,,,,,,,,,,
03/02/2022,United States,2020,27,2020-07-04,59813,53798,682,11298,1932,2361,658,2623,780,985,592,12868,2833,4552,4048,,,,,,,,,,,,,,,
03/02/2022,United States,2020,28,2020-07-11,61949,55855,764,11333,1954,2472,739,2615,751,915,667,13040,2921,5785,5236,,,,,,,,,,,,,,,
03/02/2022,United States,2020,29,2020-07-18,63158,57132,708,11371,1886,2501,767,2647,712,984,666,12866,2981,7197,6530,,,,,,,,,,,,,,,
03/02/2022,United States,2020,30,2020-07-25,64239,58382,684,11553,1957,2510,781,2558,731,969,674,12930,2913,8247,7518,,,,,,,,,,,,,,,
03/02/2022,United States,2020,31,2020-08-01,64223,58272,689,11513,1989,2502,760,2737,779,961,628,12830,2989,8306,7612,,,,,,,,,,,,,,,
03/02/2022,United States,2020,32,2020-08-08,63702,57823,784,11529,1797,2434,781,2594,730,909,677,12816,3036,7870,7182,,,,,,,,,,,,,,,
03/02/2022,United States,2020,33,2020-08-15,63650,57758,736,11705,1892,2527,754,2656,798,968,653,12845,2946,7263,6560,,,,,,,,,,,,,,,
03/02/2022,United States,2020,34,2020-08-22,62545,56596,735,11516,1935,2566,696,2642,782,967,638,12764,2930,6388,5748,,,,,,,,,,,,,,,
03/02/2022,United States,2020,35,2020-08-29,61088,55330,726,11575,1883,2430,678,2558,745,983,621,12473,2994,5753,5151,,,,,,,,,,,,,,,
03/02/2022,United States,2020,36,2020-09-05,60231,54246,701,11375,1837,2506,733,2552,801,929,581,12511,2862,5019,4434,,,,,,,,,,,,,,,
03/02/2022,United States,2020,37,2020-09-12,59645,53939,697,11468,1897,2330,681,2559,748,928,612,12352,3046,4627,4077,,,,,,,,,,,,,,,
03/02/2022,United States,2020,38,2020-09-19,59734,54141,744,11630,1861,2373,716,2518,778,921,639,12693,2948,4279,3763,,,,,,,,,,,,,,,
03/02/2022,United States,2020,39,2020-09-26,60593,55056,764,11861,1843,2499,724,2672,786,923,595,12707,3076,4301,3793,,,,,,,,,,,,,,,
03/02/2022,United States,2020,40,2020-10-03,59775,54099,717,11423,1895,2414,763,2578,719,943,658,12644,2886,4244,3698,,,,,,,,,,,,,,,
03/02/2022,United States,2020,41,2020-10-10,61756,55937,757,11828,1895,2515,725,2614,799,958,638,12806,3123,4821,4277,,,,,,,,,,,,,,,
03/02/2022,United States,2020,42,2020-10-17,60616,55193,776,11319,1843,2538,724,2598,815,1023,603,12575,3039,5200,4591,,,,,,,,,,,,,,,
03/02/2022,United States,2020,43,2020-10-24,62164,56839,728,11677,1835,2572,766,2698,796,944,609,12866,3078,5996,5328,,,,,,,,,,,,,,,
03/02/2022,United States,2020,44,2020-10-31,63412,58069,699,11530,1937,2460,793,2571,832,921,587,13160,3104,7027,6257,,,,,,,,,,,,,,,
03/02/2022,United States,2020,45,2020-11-07,67541,61723,765,11807,1960,2664,800,2893,814,1028,672,13668,3158,8763,7844,,,,,,,,,,,,,,,
03/02/2022,United States,2020,46,2020-11-14,68815,63224,795,11745,2024,2737,846,2754,858,1022,601,13471,3174,10653,9581,,,,,,,,,,,,,,,
03/02/2022,United States,2020,47,2020-11-21,71635,66225,818,11632,2117,2655,830,2815,857,1032,690,13634,3215,13360,12070,,,,,,,,,,,,,,,
03/02/2022,United States,2020,48,2020-11-28,73268,67906,773,11395,2155,2774,810,2753,861,1043,695,13555,3127,15626,14134,,,,,,,,,,,,,,,
03/02/2022,United States,2020,49,2020-12-05,77384,71964,844,11357,2214,2843,915,2834,903,1035,708,14299,3313,18569,16855,,,,,,,,,,,,,,,
03/02/2022,United States,2020,50,2020-12-12,81955,76406,836,11904,2301,2934,952,3032,969,1086,735,14564,3479,20925,19066,,,,,,,,,,,,,,,
03/02/2022,United States,2020,51,2020-12-19,82872,77502,840,11780,2355,3060,948,2947,920,1020,723,14749,3466,22329,20425,,,,,,,,,,,,,,,
03/02/2022,United States,2020,52,2020-12-26,84337,78714,857,11693,2327,2982,979,2862,922,1124,786,14842,3385,23387,21366,,,,,,,,,,,,,,,
03/02/2022,United States,2020,53,2021-01-02,86975,81084,894,11685,2444,3074,1010,3059,903,1109,737,15213,3505,24881,22748,,,,,,,,,,,,,,,
03/02/2022,United States,2021,1,2021-01-09,87069,81215,852,11339,2378,2949,1026,2955,938,1156,709,15089,3374,26006,23929,,,,,,,,,,,,,,,
03/02/2022,United States,2021,2,2021-01-16,87405,81631,830,11856,2470,2999,1000,2934,963,1223,731,15001,3534,25724,23513,,,,,,,,,,,,,,,
03/02/2022,United States,2021,3,2021-01-23,83681,78125,842,11582,2216,2932,926,2818,903,1188,708,14607,3445,23712,21652,,,,,,,,,,,,,,,
03/02/2022,United States,2021,4,2021-01-30,79209,73696,784,11696,2180,2650,908,2781,955,1165,684,14290,3294,20346,18409,,,,,,,,,,,,,,,
03/02/2022,United States,2021,5,2021-02-06,76491,70627,833,11604,2100,2596,847,2859,926,1134,726,14409,3320,17045,15248,,,,,,,,,,,,,,,
03/02/2022,United States,2021,6,2021-02-13,71492,65888,831,11494,2089,2398,860,2658,896,1114,668,13945,3398,13534,12007,,,,,,,,,,,,,,,
03/02/2022,United States,2021,7,2021-02-20,69501,63976,820,11419,2304,2494,881,2705,863,1072,674,14252,3187,10820,9494,,,,,,,,,,,,,,,
03/02/2022,United States,2021,8,2021-02-27,66736,60988,866,11623,2004,2484,796,2623,891,1083,633,13613,3217,8661,7518,,,,,,,,,,,,,,,
03/02/2022,United States,2021,9,2021-03-06,63682,57939,791,11439,1984,2308,843,2580,817,1065,624,13304,3179,6726,5769,,,,,,,,,,,,,,,
03/02/2022,United States,2021,10,2021-03-13,61865,56232,840,11414,1912,2300,782,2631,860,1018,643,13208,3097,5725,4790,,,,,,,,,,,,,,,
03/02/2022,United States,2021,11,2021-03-20,60350,54446,769,11299,1981,2184,753,2553,850,988,678,12778,3084,4900,4090,,,,,,,,,,,,,,,
03/02/2022,United States,2021,12,2021-03-27,60793,54999,741,11429,1915,2252,696,2673,844,1032,678,13098,3122,4450,3767,,,,,,,,,,,,,,,
03/02/2022,United States,2021,13,2021-04-03,58700,52936,705,11102,1943,2049,703,2514,847,1013,668,12566,2951,4202,3530,,,,,,,,,,,,,,,
03/02/2022,United States,2021,14,2021-04-10,60974,54706,716,11572,1902,2181,751,2615,780,1036,705,12957,3061,4313,3647,,,,,,,,,,,,,,,
03/02/2022,United States,2021,15,2021-04-17,59129,53258,686,11386,1809,1965,687,2470,772,979,668,12795,3113,4449,3765,,,,,,,,,,,,,,,
03/02/2022,United States,2021,16,2021-04-24,60222,54291,728,11574,1907,2039,706,2567,862,980,641,12973,3100,4600,3927,,,,,,,,,,,,,,,
03/02/2022,United States,2021,17,2021-05-01,59801,54030,711,11617,1907,2125,691,2616,837,995,643,12799,2940,4167,3591,,,,,,,,,,,,,,,
03/02/2022,United States,2021,18,2021-05-08,58982,53010,699,11358,1892,2099,701,2582,844,911,693,12665,2972,4002,3434,,,,,,,,,,,,,,,
03/02/2022,United States,2021,19,2021-05-15,58434,52623,688,11545,1864,2014,669,2520,837,968,677,12405,2976,3690,3166,,,,,,,,,,,,,,,
03/02/2022,United States,2021,20,2021-05-22,58698,52654,713,11601,1712,2164,642,2619,864,973,704,12372,3001,3238,2748,,,,,,,,,,,,,,,
03/02/2022,United States,2021,21,2021-05-29,57288,51401,730,11276,1782,2006,658,2571,836,1020,675,12461,2922,2772,2303,,,,,,,,,,,,,,,
03/02/2022,United States,2021,22,2021-06-05,57366,51184,701,11488,1733,2037,631,2581,796,954,704,12419,2866,2348,1995,,,,,,,,,,,,,,,
03/02/2022,United States,2021,23,2021-06-12,56904,50614,733,11297,1807,2079,665,2608,816,950,710,12365,2852,2037,1676,,,,,,,,,,,,,,,
03/02/2022,United States,2021,24,2021-06-19,57161,50984,729,11529,1797,2092,641,2576,874,995,715,12574,2910,1778,1430,,,,,,,,,,,,,,,
03/02/2022,United States,2021,25,2021-06-26,56843,50712,749,11490,1852,1978,695,2645,898,942,759,12366,2953,1635,1314,,,,,,,,,,,,,,,
03/02/2022,United States,2021,26,2021-07-03,57444,51145,746,11571,1817,2052,623,2640,817,971,791,12557,3011,1542,1231,,,,,,,,,,,,,,,
03/02/2022,United States,2021,27,2021-07-10,57159,50762,775,11503,1718,1973,713,2597,883,998,782,12473,2878,1640,1343,,,,,,,,,,,,,,,
03/02/2022,United States,2021,28,2021-07-17,57106,51089,774,11574,1766,2023,718,2710,841,956,756,12189,2952,1990,1692,,,,,,,,,,,,,,,
03/02/2022,United States,2021,29,2021-07-24,58334,52275,780,11531,1788,2034,682,2682,779,941,838,12431,2988,2762,2415,,,,,,,,,,,,,,,
03/02/2022,United States,2021,30,2021-07-31,60193,54179,769,11640,1765,2138,741,2578,841,976,836,12733,2911,4118,3725,,,,,,,,,,,,,,,
03/02/2022,United States,2021,31,2021-08-07,63644,57400,765,11768,1907,2153,730,2813,823,994,847,12865,2983,6481,5922,,,,,,,,,,,,,,,
03/02/2022,United States,2021,32,2021-08-14,66861,60864,795,11977,2006,2156,772,2701,864,942,1002,13107,2954,9385,8742,,,,,,,,,,,,,,,
03/02/2022,United States,2021,33,2021-08-21,69745,63746,761,11860,1942,2190,770,2781,856,1029,988,13041,3059,12161,11327,,,,,,,,,,,,,,,
03/02/2022,United States,2021,34,2021-08-28,71904,65876,738,11747,1993,2270,805,2727,929,1032,1038,13310,2984,14146,13237,,,,,,,,,,,,,,,
03/02/2022,United States,2021,35,2021-09-04,72970,66963,766,11628,1974,2298,743,2681,834,1028,1098,13243,3053,15445,14486,,,,,,,,,,,,,,,
03/02/2022,United States,2021,36,2021-09-11,72963,66832,819,11420,2008,2242,846,2662,896,1028,1114,13220,3086,15349,14382,,,,,,,,,,,,,,,
03/02/2022,United States,2021,37,2021-09-18,72624,66775,801,11718,2004,2359,830,2765,919,1043,1157,12939,3016,15164,14108,,,,,,,,,,,,,,,
03/02/2022,United States,2021,38,2021-09-25,71402,65614,795,11630,1987,2304,805,2707,857,1031,1144,12826,3055,14261,13292,,,,,,,,,,,,,,,
03/02/2022,United States,2021,39,2021-10-02,70464,64694,853,11767,1935,2279,822,2716,875,1053,1281,12996,3026,12740,11754,,,,,,,,,,,,,,,
03/02/2022,United States,2021,40,2021-10-09,68326,62724,836,11625,1921,2257,779,2730,853,970,1263,13020,3075,11082,10184,,,,,,,,,,,,,,,
03/02/2022,United States,2021,41,2021-10-16,66628,61227,825,11539,1837,2145,835,2752,870,1016,1302,12902,3065,9765,8911,,,,,,,,,,,,,,,
03/02/2022,United States,2021,42,2021-10-23,66184,60826,863,11600,1855,2266,798,2694,927,999,1337,12923,3125,8868,8024,,,,,,,,,,,,,,,
03/02/2022,United States,2021,43,2021-10-30,65701,60365,811,11626,1977,2262,822,2636,862,1059,1467,13093,3155,7906,7134,,,,,,,,,,,,,,,
03/02/2022,United States,2021,44,2021-11-06,65388,59839,786,11494,1956,2282,884,2825,916,1049,1645,13057,3183,7177,6409,,,,,,,,,,,,,,,
03/02/2022,United States,2021,45,2021-11-13,66147,60990,818,11700,1993,2445,804,2711,942,1041,1714,13368,3221,7080,6389,,,,,,,,,,,,,,,
03/02/2022,United States,2021,46,2021-11-20,65696,60711,797,11476,1930,2378,870,2747,907,1046,1867,13348,3167,7223,6453,,,,,,,,,,,,,,,
03/02/2022,United States,2021,47,2021-11-27,66564,61809,884,11481,1998,2401,846,2779,917,999,2067,13504,3238,7764,6964,,,,,,,,,,,,,,,
03/02/2022,United States,2021,48,2021-12-04,68580,63740,871,11641,1982,2355,900,2812,911,1134,2270,13701,3314,8643,7855,,,,,,,,,,,,,,,
03/02/2022,United States,2021,49,2021-12-11,70177,65496,780,11824,2014,2330,1014,2989,955,1069,2416,13980,3266,9543,8668,,,,,,,,,,,,,,,
03/02/2022,United States,2021,50,2021-12-18,69184,64777,833,11393,2020,2368,955,2918,963,1097,2540,13609,3249,9992,9129,,,,,,,,,,,,,,,
03/02/2022,United States,2021,51,2021-12-25,69698,65655,826,11488,1964,2470,1028,3011,939,1112,2844,13841,3220,10148,9211,,,,,,,,,,,,,,,
03/02/2022,United States,2021,52,2022-01-01,71178,67335,858,11246,2105,2412,1096,3025,916,1185,3262,13884,3222,11198,10117,,,,,,,,,,,,,,,
03/02/2022,United States,2022,1,2022-01-08,74263,70815,897,11268,2128,2489,1134,3178,959,1148,3566,14446,3240,14020,12452,,,,,,,,,,,,,,,
03/02/2022,United States,2022,2,2022-01-15,76503,73300,828,11095,2176,2794,993,2954,964,1167,3498,14256,3390,17221,15271,,,,,,,,,,,,,,,
03/02/2022,United States,2022,3,2022-01-22,75681,72785,721,10708,2165,2682,961,2841,888,1111,3709,13696,3386,18717,16478,,,,,,,,,,,,,,,
03/02/2022,United States,2022,4,2022-01-29,71164,68577,721,10149,1907,2627,843,2765,880,1012,3596,12813,3212,17371,15186,,,,,,,,,,,,,,,
03/02/2022,United States,2022,5,2022-02-05,60718,58787,604,8998,1644,2388,727,2404,764,903,3494,11054,2643,13857,11936,,,,,,,,,,,,,,,
03/02/2022,United States,2022,6,2022-02-12,46182,44979,459,7143,1177,1878,570,1951,597,735,3019,8702,2219,9139,7870,,,,,,,,,,,,,,,
03/02/2022,United States,2022,7,2022-02-19,33844,32993,362,5775,831,1423,397,1538,468,566,2203,6726,1626,5467,4552,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
03/02/2022,Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,9,2020-02-29,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Alabama,2020,13,2020-03-28,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,15,2020-04-11,1135,1056,25,166,31,63,18,60,20,17,28,265,64,81,77,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,16,2020-04-18,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,17,2020-04-25,1139,1037,20,200,28,55,24,53,12,17,12,265,63,85,78,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,18,2020-05-02,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,19,2020-05-09,1171,1084,17,201,28,45,12,58,18,15,22,305,52,116,105,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,20,2020-05-16,1148,1049,19,203,29,47,15,71,17,21,22,259,49,96,89,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,21,2020-05-23,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,24,2020-06-13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,25,2020-06-20,1090,1007,29,198,22,48,12,62,16,17,25,257,55,88,81,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,27,2020-07-04,1201,1112,14,221,30,59,13,60,,18,25,296,49,125,119,,,,,,,,,Suppressed (counts 1-9),,,,,,
03/02/2022,Alabama,2020,28,2020-07-11,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,29,2020-07-18,1289,1201,23,203,24,68,22,71,17,19,24,273,66,192,172,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,30,2020-07-25,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,31,2020-08-01,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,238,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,32,2020-08-08,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,33,2020-08-15,1305,1207,,166,26,60,20,68,21,15,24,291,74,230,214,,,Suppressed (counts 1-9),,,,,,,,,,,,
03/02/2022,Alabama,2020,34,2020-08-22,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,35,2020-08-29,1216,1129,19,191,24,54,17,62,19,20,22,249,56,185,175,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,36,2020-09-05,1216,1132,22,212,24,61,14,65,12,15,12,258,60,156,142,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,37,2020-09-12,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,38,2020-09-19,1200,1132,18,226,20,56,17,69,20,20,15,257,62,139,134,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,39,2020-09-26,1183,1109,21,203,35,65,20,62,13,15,22,261,58,105,100,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,40,2020-10-03,1103,1010,14,181,28,47,20,55,11,20,10,260,47,111,99,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,41,2020-10-10,1204,1120,15,189,28,58,18,63,20,21,20,303,61,137,127,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,42,2020-10-17,1190,1114,20,198,28,60,12,59,19,21,18,259,69,126,112,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,43,2020-10-24,1142,1056,18,200,16,54,20,54,16,19,15,276,47,119,112,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,44,2020-10-31,1169,1093,22,187,23,62,23,47,23,12,20,278,60,131,119,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,45,2020-11-07,1277,1183,15,215,27,54,14,54,18,23,21,296,65,151,141,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,46,2020-11-14,1269,1186,16,209,27,64,13,62,19,24,21,289,58,176,165,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,47,2020-11-21,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,48,2020-11-28,1326,1237,24,206,26,57,17,64,14,27,24,291,54,202,186,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,49,2020-12-05,1355,1259,30,177,32,63,14,66,28,14,22,300,66,251,239,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,50,2020-12-12,1598,1509,21,228,47,82,21,56,23,24,25,299,70,378,362,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,51,2020-12-19,1584,1485,13,195,31,71,31,69,17,26,29,310,70,390,363,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,52,2020-12-26,1626,1554,23,195,46,74,17,66,25,25,25,329,60,452,422,,,,,,,,,,,,,,,
03/02/2022,Alabama,2020,53,2021-01-02,1804,1703,22,201,35,79,21,70,26,26,37,325,77,509,479,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,1,2021-01-09,1809,1706,21,223,36,70,19,79,27,25,33,335,63,546,527,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,2,2021-01-16,1832,1742,16,211,47,67,25,62,21,24,28,346,67,595,569,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,3,2021-01-23,1791,1689,16,194,39,63,19,65,26,33,28,336,63,579,546,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,4,2021-01-30,1637,1559,20,206,37,63,20,74,24,22,21,311,63,490,460,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,5,2021-02-06,1508,1409,22,215,24,66,23,69,18,22,26,303,62,346,333,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,6,2021-02-13,1431,1337,20,200,30,66,15,67,24,19,20,327,77,265,249,,,,,,,,,,,,,,,
03/02/2022,Alabama,2021,7,2021-02-20,1332,1252,31,196,37,62,20,44,27,18,21,312,62,214,192,,,,,,,,,,,,,,,
